Post_ID,Address,Building_Type,Bedrooms,Bathrooms,Monthly_Rent_USD,Square_Footage,Distance_to_Campus_Miles,Amenities,Availability
HP-1001,5050 E 55th St,Converted Loft,Studio,1.0,1081,539,0.93,"Fitness Center, Radiator Heat, Parking Included",Immediate
HP-1002,5416 S Woodlawn Ave,Modern High-Rise,Studio,1.0,1717,409,0.73,"Radiator Heat, Hardwood Floors, Pet Friendly",July 1st
HP-1003,5084 E 53rd St,Mid-Rise,2,1.0,2348,1116,0.63,"Rooftop Deck, Fitness Center, Radiator Heat",July 1st
HP-1004,5547 S Cornell Ave,Mid-Rise,1,1.0,1394,667,0.87,"Hardwood Floors, Fitness Center",July 1st
HP-1005,5477 E 55th St,Luxury Condo,Studio,1.0,1246,367,0.49,"Fitness Center, Pet Friendly, Parking Included, Radiator Heat",July 1st
HP-1006,5073 S Kenwood Ave,Vintage Walk-up,1,1.0,1836,653,0.85,"Parking Included, Doorman",June 1st
HP-1007,5504 S Blackstone Ave,Vintage Walk-up,1,1.0,1805,669,1.25,"Rooftop Deck, In-unit Laundry, Pet Friendly",July 1st
HP-1008,5697 S Kenwood Ave,Student Housing,1,1.0,1930,654,0.74,"Pet Friendly, Central Air, Hardwood Floors, Rooftop Deck",July 1st
HP-1009,5069 S Kenwood Ave,Vintage Walk-up,1,1.0,1701,743,0.81,"Parking Included, Hardwood Floors, Rooftop Deck, Fitness Center, Radiator Heat",Immediate
HP-1010,5442 E 53rd St,Mid-Rise,Studio,1.0,956,378,1.49,"Parking Included, Fitness Center, Hardwood Floors, Pet Friendly, Balcony",July 1st
HP-1011,5706 S Blackstone Ave,Luxury Condo,2,1.0,3098,958,0.32,"Rooftop Deck, Fitness Center, Balcony, Pet Friendly",Immediate
HP-1012,4982 S Blackstone Ave,Converted Loft,2,2.0,2780,1156,0.95,"Balcony, Radiator Heat",June 1st
HP-1013,4819 S University Ave,Renovated Greystone,2,1.0,2500,1065,1.33,"Balcony, Pet Friendly, In-unit Laundry, Fitness Center",Immediate
HP-1014,4928 E 53rd St,Modern High-Rise,2,1.0,3184,1172,0.69,"Radiator Heat, Doorman, Balcony, Central Air, Hardwood Floors",June 1st
HP-1015,5487 S Lake Shore Dr,Luxury Condo,2,1.0,2808,1059,0.45,"Central Air, Radiator Heat, Parking Included, In-unit Laundry",Immediate
HP-1016,5402 E 55th St,Renovated Greystone,Studio,1.0,1035,491,0.42,"Fitness Center, In-unit Laundry",Immediate
HP-1017,5085 S Lake Shore Dr,Mid-Rise,1,1.0,1593,731,0.91,"Pet Friendly, Radiator Heat, Doorman, Rooftop Deck, Balcony",June 1st
HP-1018,4896 S University Ave,Mid-Rise,1,1.0,1544,704,0.18,"Rooftop Deck, Hardwood Floors, Radiator Heat, Pet Friendly, Parking Included",Immediate
HP-1019,5054 E 55th St,Modern High-Rise,1,1.0,1861,686,0.69,"Radiator Heat, Central Air, Doorman",July 1st
HP-1020,5253 S Ridgewood Ct,Student Housing,1,1.0,1427,836,1.27,"In-unit Laundry, Radiator Heat",Immediate
HP-1021,5292 E 55th St,Mid-Rise,2,1.0,2497,1108,0.47,"In-unit Laundry, Doorman, Hardwood Floors, Parking Included, Pet Friendly",August 1st
HP-1022,5602 S Blackstone Ave,Renovated Greystone,1,1.0,2098,845,0.91,"Doorman, Pet Friendly, Balcony, Fitness Center, In-unit Laundry",Immediate
HP-1023,5288 S Blackstone Ave,Converted Loft,1,1.0,1948,612,1.29,"In-unit Laundry, Radiator Heat, Fitness Center",Immediate
HP-1024,4922 E 57th St,Luxury Condo,Studio,1.0,1613,410,0.69,"Parking Included, In-unit Laundry, Fitness Center",July 1st
HP-1025,5044 S Kimbark Ave,Renovated Greystone,1,1.0,1671,783,0.11,"Doorman, Balcony, Central Air, Parking Included, In-unit Laundry",Immediate
HP-1026,4935 E 57th St,Modern High-Rise,1,1.0,2021,729,0.32,"Fitness Center, Pet Friendly, Rooftop Deck, Doorman",July 1st
HP-1027,5483 E 56th St,Luxury Condo,3,3.0,3308,1570,1.35,"Fitness Center, Doorman, Balcony, In-unit Laundry",June 1st
HP-1028,5151 E 55th St,Renovated Greystone,1,1.0,2084,653,0.17,"Radiator Heat, Central Air, Balcony, Hardwood Floors",August 1st
HP-1029,5589 E 53rd St,Mid-Rise,1,1.0,1691,600,0.11,"Doorman, Central Air, Hardwood Floors, Balcony",Immediate
HP-1030,5396 S Blackstone Ave,Converted Loft,3,3.0,3278,1318,0.53,"Hardwood Floors, Doorman, In-unit Laundry",Immediate
HP-1031,4905 S Dorchester Ave,Renovated Greystone,1,1.0,2032,663,1.47,"Parking Included, Doorman, Pet Friendly, Hardwood Floors, Fitness Center",June 1st
HP-1032,5601 E 57th St,Student Housing,Studio,1.0,1140,538,0.25,"Pet Friendly, Balcony, Doorman, Hardwood Floors, Rooftop Deck",Immediate
HP-1033,5158 S Kimbark Ave,Mid-Rise,1,1.0,1821,651,0.66,"Pet Friendly, In-unit Laundry, Parking Included",July 1st
HP-1034,5159 S Lake Shore Dr,Mid-Rise,Studio,1.0,1085,547,0.35,"Radiator Heat, Rooftop Deck, In-unit Laundry, Central Air, Doorman",July 1st
HP-1035,5546 S Ridgewood Ct,Modern High-Rise,Studio,1.0,1553,461,1.36,"Hardwood Floors, Radiator Heat, Fitness Center, Pet Friendly",June 1st
